"repo_name","language","qtd_stars","qtd_issues","qtd_pull_requests","repo_url","travis_url","ci","repo_id_travis","coverage","builds_activity","time_to_fix_broken_builds","build_health","analysis_point","forked","size","created","qtd_issues_in_period","qtd_pull_request_in_period","ci_service","analysis_init","analysis_finish","cov_service","qtd_merge_conflicts","qty_bugs_period","analysis_point_days","analysis_releases","analysis_issues","analysis_prs","qty_issues_period","qty_bugs"
"mintty/mintty","C#",1262,1019,13,"https://github.com/mintty/mintty",NULL,False,NULL,NULL,NULL,NULL,NULL,"2016-01-02 09:58:31-03",False,17928,"2015-06-04 09:58:31-03",0,0,NULL,"2016-01-01 00:00:00-03","2017-02-01 00:00:00-03",NULL,NULL,3,212,22,125,9,115,21
"mazurio/bodyweight-fitness-android","Kotlin",296,51,4,"https://github.com/mazurio/bodyweight-fitness-android",NULL,False,NULL,NULL,NULL,NULL,NULL,"2015-10-16 17:30:38-03",False,125923,"2015-03-18 17:30:38-03",0,0,NULL,"2015-10-01 00:00:00-03","2016-11-01 00:00:00-03",NULL,NULL,6,212,8,29,12,31,13
"maxkeppeler/sheets","Kotlin",580,63,6,"https://github.com/maxkeppeler/sheets",NULL,False,NULL,NULL,NULL,NULL,NULL,"2021-06-24 17:12:50-03",False,129491,"2020-11-24 17:12:50-03",0,0,NULL,"2021-06-01 00:00:00-03","2022-07-01 00:00:00-03",NULL,NULL,12,212,5,41,2,39,43
"material-shell/material-shell","TypeScript",5861,703,186,"https://github.com/material-shell/material-shell",NULL,False,NULL,NULL,NULL,NULL,NULL,"2019-11-30 08:48:15-03",False,66440,"2019-05-02 08:48:15-03",522,119,NULL,"2019-11-01 00:00:00-03","2020-12-01 00:00:00-03",NULL,2,52,212,10,374,92,365,57
"material-components/material-components-web-components","TypeScript",2584,816,0,"https://github.com/material-components/material-components-web-components","https://travis-ci.org/github/material-components/material-components-web-components",False,NULL,NULL,NULL,NULL,NULL,"2018-10-25 18:46:51-03",False,45457,"2018-03-27 18:46:51-03",0,1318,NULL,"2018-10-01 00:00:00-03","2019-11-01 00:00:00-03",NULL,NULL,62,212,7,404,243,480,362
"Marxon13/M13ProgressSuite","Objective-C",3928,83,13,"https://github.com/Marxon13/M13ProgressSuite",NULL,False,NULL,NULL,NULL,NULL,NULL,"2014-07-23 15:05:36-03",False,26162,"2013-12-23 15:05:36-03",0,0,NULL,"2014-07-01 00:00:00-03","2015-08-01 00:00:00-03",NULL,NULL,12,212,3,66,25,39,18
"nguyenhoanglam/ImagePicker","Kotlin",457,106,3,"https://github.com/nguyenhoanglam/ImagePicker",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-03-03 22:58:16-03",False,31555,"2016-08-03 22:58:16-03",0,0,NULL,"2017-03-01 00:00:00-03","2018-04-01 00:00:00-03",NULL,NULL,0,212,2,26,8,34,1
"luisespinoza/LEColorPicker","Objective-C",646,11,1,"https://github.com/luisespinoza/LEColorPicker",NULL,False,NULL,NULL,NULL,NULL,NULL,"2013-07-02 23:12:52-03",False,15592,"2012-12-02 23:12:52-03",0,0,NULL,"2013-07-01 00:00:00-03","2014-08-01 00:00:00-03",NULL,NULL,2,212,4,14,5,10,2
"LowKostKustomz/StatusAlert","Swift",821,8,1,"https://github.com/LowKostKustomz/StatusAlert",NULL,False,NULL,NULL,NULL,NULL,NULL,"2018-07-07 16:02:16-03",False,54465,"2017-12-07 16:02:16-03",0,0,NULL,"2018-07-01 00:00:00-03","2019-08-01 00:00:00-03",NULL,NULL,1,212,6,9,4,5,1
"li-xiaojun/XPopup","Java",5720,744,2,"https://github.com/li-xiaojun/XPopup",NULL,False,NULL,NULL,NULL,NULL,NULL,"2019-07-07 03:16:48-03",False,152368,"2018-12-07 03:16:48-03",0,0,NULL,"2019-07-01 00:00:00-03","2020-08-01 00:00:00-03",NULL,NULL,0,212,27,328,8,300,3
"LuckSiege/PictureSelector","Java",10563,2015,2,"https://github.com/LuckSiege/PictureSelector",NULL,False,NULL,NULL,NULL,NULL,NULL,"2017-08-04 04:47:39-03",False,293560,"2017-01-04 04:47:39-03",0,0,NULL,"2017-08-01 00:00:00-03","2018-09-01 00:00:00-03",NULL,NULL,0,212,9,761,15,450,1
"labstack/armor","Go",1627,41,3,"https://github.com/labstack/armor","https://api.travis-ci.org/repos/labstack/armor",True,"10328411","13.675214","0.15151515151515152","6445634.0","0.05673758865248227","2016-10-31 01:05:56-03",False,20060,"2016-01-19 22:27:27-03",0,0,"Travis CI","2016-10-01 00:00:00-03","2017-11-01 00:00:00-03","COVERALLS",NULL,3,285,21,19,3,19,4
